record_date,branch_name,total_patient_tally,item_name,beginning_stock,quantity_used,stock_received,ending_stock,animal_bite_cases,vaccinations_administered,minimum_stock_level
15/11/2025,Cainta,17,FORCEPS,13.3,0.3,0.0,13.0,10,9,50
15/11/2025,Cainta,17,BETADINE CONTAINER,3.1,0.2,0.0,2.9,9,9,50
15/11/2025,Cainta,17,ALCOHOL PUMP CONTAINER,3.1,0.2,0.0,2.9,7,7,50
16/11/2025,Cainta,24,SPEEDA,195.2,4.1,0.0,191.1,14,12,70
16/11/2025,Cainta,24,ABHAYRAB,14.9,1.2,0.0,13.7,8,10,50
16/11/2025,Cainta,24,VAXIRAB,9.8,1.2,0.0,8.6,6,6,50
16/11/2025,Cainta,24,CHIRORAB,6.7,1.2,25.3,30.8,7,7,50
16/11/2025,Cainta,24,ERIG,40.9,1.0,0.0,39.9,13,17,50
16/11/2025,Cainta,24,HRIG,3.0,0.5,0.0,2.5,10,12,50
16/11/2025,Cainta,24,"ATS 1,500 ""IU""",8.0,0.5,0.0,7.5,8,10,50
16/11/2025,Cainta,24,"ATS 3000 ""IU""",17.9,0.5,0.0,17.4,11,9,50
16/11/2025,Cainta,24,"ATS 5,000 ""IU""",6.0,0.5,24.4,29.9,7,9,50
16/11/2025,Cainta,24,HTIG,4.9,0.2,0.0,4.7,13,15,50
16/11/2025,Cainta,24,TOXOID BETT,389.9,2.3,0.0,387.6,10,11,50
16/11/2025,Cainta,24,TOXOID ABHAYTOX,33.0,0.5,0.0,32.5,10,8,50
16/11/2025,Cainta,24,PPD,1.5,0.1,0.0,1.4,9,12,50
16/11/2025,Cainta,24,HEPA B,23.0,0.5,0.0,22.5,12,14,50
16/11/2025,Cainta,24,HEPA BIG,43.0,0.5,0.0,42.5,9,12,50
16/11/2025,Cainta,24,FLU,6.9,0.2,0.0,6.7,7,8,50
16/11/2025,Cainta,24,AMOXICILLIN 500MG,172.9,7.2,0.0,165.7,7,9,140
16/11/2025,Cainta,24,CEFALEXIN 500 MG,158.8,4.7,0.0,154.1,15,18,100
16/11/2025,Cainta,24,MEFENAMIC 500 MG,145.9,5.1,0.0,140.8,15,20,120
16/11/2025,Cainta,24,INSULIN,1247.7,6.8,0.0,1240.9,13,12,150
16/11/2025,Cainta,24,1CC/3CC,139.0,2.4,0.0,136.6,9,8,50
16/11/2025,Cainta,24,5CC/10CC,539.9,2.3,0.0,537.6,15,18,50
16/11/2025,Cainta,24,CETIRIZINE,912.3,4.7,0.0,907.6,13,14,100
16/11/2025,Cainta,24,G23,345.0,1.2,0.0,343.8,13,15,50
16/11/2025,Cainta,24,G27,344.9,1.3,0.0,343.6,10,12,50
16/11/2025,Cainta,24,GAUZE PAD,19.7,2.4,0.0,17.3,9,10,50
16/11/2025,Cainta,24,COTTON BALLS,1955.4,12.6,405.0,2347.8,7,9,240
16/11/2025,Cainta,24,BETADINE,0.5,0.1,0.0,0.4,15,15,50
16/11/2025,Cainta,24,ALCOHOL,0.5,0.1,0.0,0.4,10,13,50
16/11/2025,Cainta,24,FACEMASK,250.7,4.8,0.0,245.9,8,7,100
16/11/2025,Cainta,24,GLOVES,368.1,4.8,98.6,461.9,9,11,100
16/11/2025,Cainta,24,MICROPRE,66.4,1.3,47.2,112.3,12,16,50
16/11/2025,Cainta,24,STERILE WATER,16.9,0.7,0.0,16.2,8,8,50
16/11/2025,Cainta,24,REF THERMOMETER,3.9,0.2,0.0,3.7,14,14,50
16/11/2025,Cainta,24,ACRYLIC CONTAINERS,13.0,0.5,0.0,12.5,13,13,50
16/11/2025,Cainta,24,COOLER,2.5,0.1,0.0,2.4,13,15,50
16/11/2025,Cainta,24,KIDNEY BASIN,8.0,0.5,0.0,7.5,10,10,50
16/11/2025,Cainta,24,WEIGHING SCALE,1.5,0.1,0.0,1.4,12,10,50
16/11/2025,Cainta,24,FORCEPS,13.0,0.5,0.0,12.5,12,16,50
16/11/2025,Cainta,24,BETADINE CONTAINER,2.9,0.2,0.0,2.7,12,11,50
16/11/2025,Cainta,24,ALCOHOL PUMP CONTAINER,2.9,0.2,0.0,2.7,7,8,50
17/11/2025,Cainta,73,SPEEDA,191.1,9.8,0.0,181.3,30,35,70
17/11/2025,Cainta,73,ABHAYRAB,13.7,3.7,0.0,10.0,19,16,50
17/11/2025,Cainta,73,VAXIRAB,8.6,3.9,0.0,4.7,33,28,50
17/11/2025,Cainta,73,CHIRORAB,30.8,3.5,0.0,27.3,28,39,50
17/11/2025,Cainta,73,ERIG,39.9,2.9,0.0,37.0,22,26,50
17/11/2025,Cainta,73,HRIG,2.5,1.5,0.0,1.0,21,17,50
17/11/2025,Cainta,73,"ATS 1,500 ""IU""",7.5,1.5,0.0,6.0,35,45,50
17/11/2025,Cainta,73,"ATS 3000 ""IU""",17.4,1.4,0.0,16.0,23,25,50
17/11/2025,Cainta,73,"ATS 5,000 ""IU""",29.9,1.5,0.0,28.4,45,38,50
17/11/2025,Cainta,73,HTIG,4.7,0.7,0.0,4.0,35,42,50
17/11/2025,Cainta,73,TOXOID BETT,387.6,7.5,0.0,380.1,28,31,50
17/11/2025,Cainta,73,TOXOID ABHAYTOX,32.5,1.4,0.0,31.1,36,33,50
17/11/2025,Cainta,73,PPD,1.4,0.4,0.0,1.0,19,25,50
17/11/2025,Cainta,73,HEPA B,22.5,1.4,0.0,21.1,46,45,50
17/11/2025,Cainta,73,HEPA BIG,42.5,1.5,0.0,41.0,32,31,50
17/11/2025,Cainta,73,FLU,6.7,0.7,0.0,6.0,41,40,50
17/11/2025,Cainta,73,AMOXICILLIN 500MG,165.7,18.2,189.9,337.4,21,26,140
17/11/2025,Cainta,73,CEFALEXIN 500 MG,154.1,14.9,0.0,139.2,32,39,100
17/11/2025,Cainta,73,MEFENAMIC 500 MG,140.8,21.3,0.0,119.5,33,44,120
17/11/2025,Cainta,73,INSULIN,1240.9,17.2,0.0,1223.7,46,43,150
17/11/2025,Cainta,73,1CC/3CC,136.6,7.4,0.0,129.2,35,45,50
17/11/2025,Cainta,73,5CC/10CC,537.6,7.4,144.7,674.9,32,37,50
17/11/2025,Cainta,73,CETIRIZINE,907.6,15.8,0.0,891.8,26,26,100
17/11/2025,Cainta,73,G23,343.8,3.5,0.0,340.3,28,23,50
17/11/2025,Cainta,73,G27,343.6,3.5,0.0,340.1,33,43,50
17/11/2025,Cainta,73,GAUZE PAD,17.3,7.5,19.5,29.3,31,29,50
17/11/2025,Cainta,73,COTTON BALLS,2347.8,38.7,0.0,2309.1,19,22,240
17/11/2025,Cainta,73,BETADINE,0.4,0.4,0.0,0.0,42,47,50
17/11/2025,Cainta,73,ALCOHOL,0.4,0.4,0.0,0.0,44,35,50
17/11/2025,Cainta,73,FACEMASK,245.9,13.6,0.0,232.3,22,31,100
17/11/2025,Cainta,73,GLOVES,461.9,14.9,0.0,447.0,34,44,100
17/11/2025,Cainta,73,MICROPRE,112.3,3.7,0.0,108.6,21,23,50
17/11/2025,Cainta,73,STERILE WATER,16.2,2.2,0.0,14.0,38,46,50
17/11/2025,Cainta,73,REF THERMOMETER,3.7,0.7,0.0,3.0,26,28,50
17/11/2025,Cainta,73,ACRYLIC CONTAINERS,12.5,1.5,0.0,11.0,38,47,50
17/11/2025,Cainta,73,COOLER,2.4,0.4,0.0,2.0,39,34,50
17/11/2025,Cainta,73,KIDNEY BASIN,7.5,1.5,0.0,6.0,41,44,50
17/11/2025,Cainta,73,WEIGHING SCALE,1.4,0.4,0.0,1.0,21,21,50
17/11/2025,Cainta,73,FORCEPS,12.5,1.5,0.0,11.0,45,48,50
17/11/2025,Cainta,73,BETADINE CONTAINER,2.7,0.7,0.0,2.0,25,27,50
17/11/2025,Cainta,73,ALCOHOL PUMP CONTAINER,2.7,0.7,0.0,2.0,19,17,50
18/11/2025,Cainta,87,SPEEDA,181.3,14.1,110.4,277.6,41,57,70
18/11/2025,Cainta,87,ABHAYRAB,10.0,4.4,0.0,5.6,35,28,50
18/11/2025,Cainta,87,VAXIRAB,4.7,4.5,0.0,0.2,51,41,50
18/11/2025,Cainta,87,CHIRORAB,27.3,4.6,0.0,22.7,50,51,50
18/11/2025,Cainta,87,ERIG,37.0,3.5,0.0,33.5,33,39,50
18/11/2025,Cainta,87,HRIG,1.0,1.7,18.7,18.0,55,50,50
18/11/2025,Cainta,87,"ATS 1,500 ""IU""",6.0,1.7,0.0,4.3,32,36,50
18/11/2025,Cainta,87,"ATS 3000 ""IU""",16.0,1.7,0.0,14.3,40,49,50
18/11/2025,Cainta,87,"ATS 5,000 ""IU""",28.4,1.7,0.0,26.7,31,27,50
18/11/2025,Cainta,87,HTIG,4.0,0.9,0.0,3.1,54,75,50
18/11/2025,Cainta,87,TOXOID BETT,380.1,8.8,0.0,371.3,27,27,50
18/11/2025,Cainta,87,TOXOID ABHAYTOX,31.1,1.8,0.0,29.3,23,27,50
18/11/2025,Cainta,87,PPD,1.0,0.4,0.0,0.6,37,32,50
18/11/2025,Cainta,87,HEPA B,21.1,1.8,0.0,19.3,56,69,50
18/11/2025,Cainta,87,HEPA BIG,41.0,1.7,0.0,39.3,53,69,50
18/11/2025,Cainta,87,FLU,6.0,0.9,10.9,16.0,48,41,50
18/11/2025,Cainta,87,AMOXICILLIN 500MG,337.4,28.7,0.0,308.7,53,46,140
18/11/2025,Cainta,87,CEFALEXIN 500 MG,139.2,16.0,0.0,123.2,53,51,100
18/11/2025,Cainta,87,MEFENAMIC 500 MG,119.5,19.1,0.0,100.4,40,32,120
18/11/2025,Cainta,87,INSULIN,1223.7,28.1,0.0,1195.6,33,46,150
18/11/2025,Cainta,87,1CC/3CC,129.2,8.6,0.0,120.6,49,57,50
18/11/2025,Cainta,87,5CC/10CC,674.9,9.0,0.0,665.9,45,52,50
18/11/2025,Cainta,87,CETIRIZINE,891.8,18.2,0.0,873.6,35,48,100
18/11/2025,Cainta,87,G23,340.3,4.3,89.0,425.0,25,32,50
18/11/2025,Cainta,87,G27,340.1,4.2,0.0,335.9,48,62,50
18/11/2025,Cainta,87,GAUZE PAD,29.3,8.1,0.0,21.2,31,31,50
18/11/2025,Cainta,87,COTTON BALLS,2309.1,39.8,0.0,2269.3,54,54,240
18/11/2025,Cainta,87,BETADINE,0.0,0.4,20.4,20.0,30,29,50
18/11/2025,Cainta,87,ALCOHOL,0.0,0.4,14.4,14.0,26,26,50
18/11/2025,Cainta,87,FACEMASK,232.3,15.4,0.0,216.9,51,52,100
18/11/2025,Cainta,87,GLOVES,447.0,17.7,160.4,589.7,27,24,100
18/11/2025,Cainta,87,MICROPRE,108.6,4.4,22.5,126.7,28,28,50
18/11/2025,Cainta,87,STERILE WATER,14.0,2.6,19.5,30.9,43,46,50
18/11/2025,Cainta,87,REF THERMOMETER,3.0,0.9,0.0,2.1,52,51,50
18/11/2025,Cainta,87,ACRYLIC CONTAINERS,11.0,1.7,0.0,9.3,29,26,50
18/11/2025,Cainta,87,COOLER,2.0,0.4,0.0,1.6,33,34,50
18/11/2025,Cainta,87,KIDNEY BASIN,6.0,1.7,0.0,4.3,49,53,50
18/11/2025,Cainta,87,WEIGHING SCALE,1.0,0.4,0.0,0.6,56,69,50
18/11/2025,Cainta,87,FORCEPS,11.0,1.8,0.0,9.2,39,48,50
18/11/2025,Cainta,87,BETADINE CONTAINER,2.0,0.9,0.0,1.1,27,25,50
18/11/2025,Cainta,87,ALCOHOL PUMP CONTAINER,2.0,0.9,0.0,1.1,22,18,50
19/11/2025,Cainta,56,SPEEDA,277.6,7.8,183.5,453.3,19,19,70
19/11/2025,Cainta,56,ABHAYRAB,5.6,2.8,0.0,2.8,17,15,50
19/11/2025,Cainta,56,VAXIRAB,0.2,2.8,9.6,7.0,29,30,50
19/11/2025,Cainta,56,CHIRORAB,22.7,2.8,0.0,19.9,17,24,50
19/11/2025,Cainta,56,ERIG,33.5,2.4,0.0,31.1,25,23,50
19/11/2025,Cainta,56,HRIG,18.0,1.1,0.0,16.9,30,30,50
19/11/2025,Cainta,56,"ATS 1,500 ""IU""",4.3,1.1,0.0,3.2,27,33,50
19/11/2025,Cainta,56,"ATS 3000 ""IU""",14.3,1.1,0.0,13.2,18,20,50
19/11/2025,Cainta,56,"ATS 5,000 ""IU""",26.7,1.1,0.0,25.6,32,26,50
19/11/2025,Cainta,56,HTIG,3.1,0.6,0.0,2.5,30,27,50
19/11/2025,Cainta,56,TOXOID BETT,371.3,5.8,0.0,365.5,31,42,50
19/11/2025,Cainta,56,TOXOID ABHAYTOX,29.3,1.1,0.0,28.2,17,15,50
19/11/2025,Cainta,56,PPD,0.6,0.3,0.0,0.3,17,20,50
19/11/2025,Cainta,56,HEPA B,19.3,1.1,0.0,18.2,35,45,50
19/11/2025,Cainta,56,HEPA BIG,39.3,1.1,0.0,38.2,23,22,50
19/11/2025,Cainta,56,FLU,16.0,0.6,0.0,15.4,21,26,50
19/11/2025,Cainta,56,AMOXICILLIN 500MG,308.7,12.7,0.0,296.0,25,23,140
19/11/2025,Cainta,56,CEFALEXIN 500 MG,123.2,12.0,0.0,111.2,29,28,100
19/11/2025,Cainta,56,MEFENAMIC 500 MG,100.4,11.5,0.0,88.9,35,35,120
19/11/2025,Cainta,56,INSULIN,1195.6,15.7,82.0,1261.9,20,28,150
19/11/2025,Cainta,56,1CC/3CC,120.6,5.9,0.0,114.7,35,33,50
19/11/2025,Cainta,56,5CC/10CC,665.9,5.6,0.0,660.3,15,13,50
19/11/2025,Cainta,56,CETIRIZINE,873.6,10.1,0.0,863.5,26,35,100
19/11/2025,Cainta,56,G23,425.0,2.7,0.0,422.3,28,25,50
19/11/2025,Cainta,56,G27,335.9,2.9,0.0,333.0,16,21,50
19/11/2025,Cainta,56,GAUZE PAD,21.2,5.4,43.3,59.1,17,20,50
19/11/2025,Cainta,56,COTTON BALLS,2269.3,29.2,0.0,2240.1,23,26,240
19/11/2025,Cainta,56,BETADINE,20.0,0.3,0.0,19.7,36,45,50
19/11/2025,Cainta,56,ALCOHOL,14.0,0.3,0.0,13.7,27,33,50
19/11/2025,Cainta,56,FACEMASK,216.9,13.9,0.0,203.0,35,30,100
19/11/2025,Cainta,56,GLOVES,589.7,11.9,172.6,750.4,32,45,100
19/11/2025,Cainta,56,MICROPRE,126.7,2.6,0.0,124.1,24,33,50
19/11/2025,Cainta,56,STERILE WATER,30.9,1.7,0.0,29.2,32,43,50
19/11/2025,Cainta,56,REF THERMOMETER,2.1,0.6,0.0,1.5,14,16,50
19/11/2025,Cainta,56,ACRYLIC CONTAINERS,9.3,1.1,0.0,8.2,16,18,50
19/11/2025,Cainta,56,COOLER,1.6,0.3,0.0,1.3,33,37,50
19/11/2025,Cainta,56,KIDNEY BASIN,4.3,1.1,0.0,3.2,32,26,50
19/11/2025,Cainta,56,WEIGHING SCALE,0.6,0.3,0.0,0.3,19,21,50
19/11/2025,Cainta,56,FORCEPS,9.2,1.1,0.0,8.1,26,31,50
19/11/2025,Cainta,56,BETADINE CONTAINER,1.1,0.6,0.0,0.5,28,33,50
19/11/2025,Cainta,56,ALCOHOL PUMP CONTAINER,1.1,0.6,0.0,0.5,33,33,50
20/11/2025,Cainta,31,SPEEDA,453.3,4.5,0.0,448.8,15,16,70
20/11/2025,Cainta,31,ABHAYRAB,2.8,1.5,0.0,1.3,13,15,50
20/11/2025,Cainta,31,VAXIRAB,7.0,1.6,0.0,5.4,12,13,50
20/11/2025,Cainta,31,CHIRORAB,19.9,1.6,0.0,18.3,13,18,50
20/11/2025,Cainta,31,ERIG,31.1,1.2,0.0,29.9,16,20,50
20/11/2025,Cainta,31,HRIG,16.9,0.6,0.0,16.3,19,15,50
20/11/2025,Cainta,31,"ATS 1,500 ""IU""",3.2,0.6,0.0,2.6,13,11,50
20/11/2025,Cainta,31,"ATS 3000 ""IU""",13.2,0.6,0.0,12.6,11,13,50
20/11/2025,Cainta,31,"ATS 5,000 ""IU""",25.6,0.6,16.7,41.7,11,12,50
20/11/2025,Cainta,31,HTIG,2.5,0.3,0.0,2.2,17,22,50
20/11/2025,Cainta,31,TOXOID BETT,365.5,3.3,0.0,362.2,18,16,50
20/11/2025,Cainta,31,TOXOID ABHAYTOX,28.2,0.6,0.0,27.6,9,7,50
20/11/2025,Cainta,31,PPD,0.3,0.2,0.0,0.1,9,9,50
20/11/2025,Cainta,31,HEPA B,18.2,0.6,0.0,17.6,15,19,50
20/11/2025,Cainta,31,HEPA BIG,38.2,0.6,0.0,37.6,10,14,50
20/11/2025,Cainta,31,FLU,15.4,0.3,0.0,15.1,18,24,50
20/11/2025,Cainta,31,AMOXICILLIN 500MG,296.0,5.7,0.0,290.3,12,13,140
20/11/2025,Cainta,31,CEFALEXIN 500 MG,111.2,5.6,0.0,105.6,10,13,100
20/11/2025,Cainta,31,MEFENAMIC 500 MG,88.9,7.5,110.8,192.2,19,16,120
20/11/2025,Cainta,31,INSULIN,1261.9,7.7,0.0,1254.2,10,11,150
20/11/2025,Cainta,31,1CC/3CC,114.7,3.4,0.0,111.3,11,15,50
20/11/2025,Cainta,31,5CC/10CC,660.3,2.9,0.0,657.4,10,10,50
20/11/2025,Cainta,31,CETIRIZINE,863.5,5.9,172.9,1030.5,9,12,100
20/11/2025,Cainta,31,G23,422.3,1.6,0.0,420.7,8,7,50
20/11/2025,Cainta,31,G27,333.0,1.6,0.0,331.4,8,7,50
20/11/2025,Cainta,31,GAUZE PAD,59.1,2.9,24.3,80.5,10,11,50
20/11/2025,Cainta,31,COTTON BALLS,2240.1,19.6,0.0,2220.5,8,11,240
20/11/2025,Cainta,31,BETADINE,19.7,0.2,0.0,19.5,15,15,50
20/11/2025,Cainta,31,ALCOHOL,13.7,0.2,0.0,13.5,16,20,50
20/11/2025,Cainta,31,FACEMASK,203.0,6.5,0.0,196.5,13,12,100
20/11/2025,Cainta,31,GLOVES,750.4,6.3,0.0,744.1,12,15,100
20/11/2025,Cainta,31,MICROPRE,124.1,1.5,0.0,122.6,14,16,50
20/11/2025,Cainta,31,STERILE WATER,29.2,0.9,0.0,28.3,19,17,50
20/11/2025,Cainta,31,REF THERMOMETER,1.5,0.3,0.0,1.2,18,22,50
20/11/2025,Cainta,31,ACRYLIC CONTAINERS,8.2,0.6,0.0,7.6,8,10,50
20/11/2025,Cainta,31,COOLER,1.3,0.2,0.0,1.1,10,11,50
20/11/2025,Cainta,31,KIDNEY BASIN,3.2,0.6,0.0,2.6,11,10,50
20/11/2025,Cainta,31,WEIGHING SCALE,0.3,0.2,0.0,0.1,11,10,50
20/11/2025,Cainta,31,FORCEPS,8.1,0.6,0.0,7.5,15,21,50
20/11/2025,Cainta,31,BETADINE CONTAINER,0.5,0.3,0.0,0.2,13,16,50
20/11/2025,Cainta,31,ALCOHOL PUMP CONTAINER,0.5,0.3,0.0,0.2,8,10,50
21/11/2025,Cainta,57,SPEEDA,448.8,9.0,0.0,439.8,23,28,70
21/11/2025,Cainta,57,ABHAYRAB,1.3,2.9,13.6,12.0,26,34,50
21/11/2025,Cainta,57,VAXIRAB,5.4,2.8,0.0,2.6,17,15,50
21/11/2025,Cainta,57,CHIRORAB,18.3,2.8,0.0,15.5,33,36,50
21/11/2025,Cainta,57,ERIG,29.9,2.3,0.0,27.6,15,18,50
21/11/2025,Cainta,57,HRIG,16.3,1.1,0.0,15.2,35,30,50
21/11/2025,Cainta,57,"ATS 1,500 ""IU""",2.6,1.1,0.0,1.5,17,15,50
21/11/2025,Cainta,57,"ATS 3000 ""IU""",12.6,1.1,0.0,11.5,33,39,50
21/11/2025,Cainta,57,"ATS 5,000 ""IU""",41.7,1.1,0.0,40.6,35,46,50
21/11/2025,Cainta,57,HTIG,2.2,0.6,0.0,1.6,37,44,50
21/11/2025,Cainta,57,TOXOID BETT,362.2,5.8,0.0,356.4,33,27,50
21/11/2025,Cainta,57,TOXOID ABHAYTOX,27.6,1.1,0.0,26.5,32,44,50
21/11/2025,Cainta,57,PPD,0.1,0.3,5.2,5.0,29,26,50
21/11/2025,Cainta,57,HEPA B,17.6,1.1,0.0,16.5,32,30,50
21/11/2025,Cainta,57,HEPA BIG,37.6,1.1,0.0,36.5,17,24,50
21/11/2025,Cainta,57,FLU,15.1,0.6,0.0,14.5,26,33,50
21/11/2025,Cainta,57,AMOXICILLIN 500MG,290.3,18.7,409.3,680.9,26,35,140
21/11/2025,Cainta,57,CEFALEXIN 500 MG,105.6,11.4,0.0,94.2,34,44,100
21/11/2025,Cainta,57,MEFENAMIC 500 MG,192.2,14.5,0.0,177.7,25,30,120
21/11/2025,Cainta,57,INSULIN,1254.2,20.7,0.0,1233.5,23,22,150
